asset,free,locked,date
XNO,0.00000000,0.00000000,2026-02-22
COW,0.00000000,0.00000000,2026-02-22
WOO,0.00000000,0.00000000,2026-02-22
ALPINE,0.00000000,0.00000000,2026-02-22
T,0.00000000,0.00000000,2026-02-22
NBT,0.00000000,0.00000000,2026-02-22
KDA,0.00000000,0.00000000,2026-02-22
APE,0.00000000,0.00000000,2026-02-22
GMT,0.00000000,0.00000000,2026-02-22
MOB,0.00000000,0.00000000,2026-02-22
BSW,0.00000000,0.00000000,2026-02-22
MULTI,0.00000000,0.00000000,2026-02-22
REI,0.00000000,0.00000000,2026-02-22
GAL,0.00000000,0.00000000,2026-02-22
NEXO,0.00000000,0.00000000,2026-02-22
EPX,0.00000000,0.00000000,2026-02-22
LDO,0.00000000,0.00000000,2026-02-22
USTC,0.00000000,0.00000000,2026-02-22
LUNC,0.00000000,0.00000000,2026-02-22
OP,0.00000000,0.00000000,2026-02-22
LEVER,0.00000000,0.00000000,2026-02-22
STG,0.00000000,0.00000000,2026-02-22
POLYX,0.00000000,0.00000000,2026-02-22
GMX,0.00000000,0.00000000,2026-02-22
APT,0.00000000,0.00000000,2026-02-22
OSMO,0.00000000,0.00000000,2026-02-22
HFT,0.00000000,0.00000000,2026-02-22
HOOK,0.00000000,0.00000000,2026-02-22
MAGIC,0.00000000,0.00000000,2026-02-22
HIFI,0.00000000,0.00000000,2026-02-22
RPL,0.00000000,0.00000000,2026-02-22
GFT,0.00000000,0.00000000,2026-02-22
GNS,0.00000000,0.00000000,2026-02-22
SYN,0.00000000,0.00000000,2026-02-22
LQTY,0.00000000,0.00000000,2026-02-22
ID,0.00000000,0.00000000,2026-02-22
ARB,0.00000000,0.00000000,2026-02-22
RDNT,0.00000000,0.00000000,2026-02-22
EDU,0.00000000,0.00000000,2026-02-22
WBETH,0.00000000,0.00000000,2026-02-22
SUI,0.00000000,0.00000000,2026-02-22
PEPE,0.00,0.00,2026-02-22
FLOKI,0.00,0.00,2026-02-22
COMBO,0.00000000,0.00000000,2026-02-22
NTRN,0.00000000,0.00000000,2026-02-22
MAV,0.00000000,0.00000000,2026-02-22
FDUSD,0.00000000,0.00000000,2026-02-22
PENDLE,0.00000000,0.00000000,2026-02-22
ARKM,0.00000000,0.00000000,2026-02-22
WLD,0.00000000,0.00000000,2026-02-22
CYBER,0.00000000,0.00000000,2026-02-22
SEI,0.00000000,0.00000000,2026-02-22
AEUR,0.00000000,0.00000000,2026-02-22
ORDI,0.00000000,0.00000000,2026-02-22
MEME,0.00000000,0.00000000,2026-02-22
TIA,0.00000000,0.00000000,2026-02-22
BEAMX,0.00000000,0.00000000,2026-02-22
VIC,0.00000000,0.00000000,2026-02-22
BLUR,0.00000000,0.00000000,2026-02-22
VANRY,0.00000000,0.00000000,2026-02-22
JTO,0.00000000,0.00000000,2026-02-22
ACE,0.00000000,0.00000000,2026-02-22
1000SATS,0.00,0.00,2026-02-22
TON,0.00000000,0.00000000,2026-02-22
BONK,0.00,0.00,2026-02-22
AXL,0.00000000,0.00000000,2026-02-22
NFP,0.00000000,0.00000000,2026-02-22
AI,0.00000000,0.00000000,2026-02-22
XAI,0.00000000,0.00000000,2026-02-22
MANTA,0.00000000,0.00000000,2026-02-22
METIS,0.00000000,0.00000000,2026-02-22
ALT,0.00000000,0.00000000,2026-02-22
RONIN,0.00000000,0.00000000,2026-02-22
JUP,0.00000000,0.00000000,2026-02-22
PYTH,0.00000000,0.00000000,2026-02-22
DYM,0.00000000,0.00000000,2026-02-22
PIXEL,0.00000000,0.00000000,2026-02-22
STRK,0.00000000,0.00000000,2026-02-22
PORTAL,0.00000000,0.00000000,2026-02-22
PDA,0.00000000,0.00000000,2026-02-22
WIF,0.00000000,0.00000000,2026-02-22
AEVO,0.00000000,0.00000000,2026-02-22
ETHFI,0.00000000,0.00000000,2026-02-22
BOME,0.00,0.00,2026-02-22
ENA,0.00000000,0.00000000,2026-02-22
W,0.00000000,0.00000000,2026-02-22
SAGA,0.00000000,0.00000000,2026-02-22
TAO,0.00000000,0.00000000,2026-02-22
TNSR,0.00000000,0.00000000,2026-02-22
